# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_sitting_halfsphere.bag'
# timestamp tx ty tz qx qy qz qw
1341845948.9006 -0.2868 -2.7223 1.4429 -0.8027 0.0101 -0.0241 0.5958
1341845948.9106 -0.2867 -2.7210 1.4441 -0.8035 0.0103 -0.0244 0.5947
1341845948.9205 -0.2866 -2.7197 1.4452 -0.8045 0.0105 -0.0246 0.5934
1341845948.9305 -0.2866 -2.7183 1.4464 -0.8053 0.0108 -0.0244 0.5923
1341845948.9405 -0.2865 -2.7171 1.4477 -0.8067 0.0107 -0.0245 0.5904
1341845948.9505 -0.2866 -2.7157 1.4488 -0.8082 0.0108 -0.0241 0.5883
1341845948.9604 -0.2867 -2.7138 1.4500 -0.8084 0.0107 -0.0228 0.5881
1341845948.9706 -0.2865 -2.7127 1.4515 -0.8101 0.0113 -0.0246 0.5857
1341845948.9807 -0.2865 -2.7111 1.4527 -0.8110 0.0112 -0.0252 0.5844
1341845948.9904 -0.2865 -2.7097 1.4541 -0.8123 0.0114 -0.0263 0.5826
1341845949.0005 -0.2866 -2.7078 1.4552 -0.8127 0.0118 -0.0259 0.5820
1341845949.0105 -0.2865 -2.7060 1.4566 -0.8131 0.0123 -0.0270 0.5813
1341845949.0205 -0.2864 -2.7045 1.4581 -0.8142 0.0130 -0.0272 0.5798
1341845949.0305 -0.2861 -2.7031 1.4595 -0.8147 0.0133 -0.0271 0.5790
1341845949.0405 -0.2861 -2.7018 1.4613 -0.8157 0.0147 -0.0274 0.5776
1341845949.0505 -0.2864 -2.6995 1.4625 -0.8144 0.0156 -0.0247 0.5796
1341845949.0605 -0.2861 -2.6979 1.4641 -0.8148 0.0163 -0.0247 0.5790
1341845949.0705 -0.2861 -2.6963 1.4656 -0.8148 0.0175 -0.0241 0.5790
1341845949.0825 -0.2862 -2.6945 1.4670 -0.8147 0.0186 -0.0225 0.5791
1341845949.0905 -0.2860 -2.6929 1.4688 -0.8148 0.0197 -0.0226 0.5790
1341845949.1006 -0.2858 -2.6914 1.4705 -0.8155 0.0203 -0.0238 0.5779
1341845949.1104 -0.2858 -2.6897 1.4720 -0.8156 0.0217 -0.0238 0.5777
1341845949.1204 -0.2857 -2.6882 1.4736 -0.8160 0.0223 -0.0241 0.5771
1341845949.1305 -0.2853 -2.6866 1.4752 -0.8170 0.0227 -0.0250 0.5756
1341845949.1405 -0.2850 -2.6848 1.4770 -0.8165 0.0242 -0.0259 0.5762
1341845949.1504 -0.2848 -2.6832 1.4787 -0.8170 0.0252 -0.0263 0.5755
1341845949.1605 -0.2844 -2.6817 1.4804 -0.8177 0.0260 -0.0264 0.5745
1341845949.1704 -0.2842 -2.6801 1.4821 -0.8180 0.0271 -0.0263 0.5740
1341845949.1805 -0.2838 -2.6785 1.4837 -0.8185 0.0278 -0.0266 0.5733
1341845949.1904 -0.2836 -2.6770 1.4853 -0.8186 0.0291 -0.0267 0.5730
1341845949.2023 -0.2830 -2.6753 1.4872 -0.8186 0.0288 -0.0271 0.5729
1341845949.2104 -0.2824 -2.6739 1.4888 -0.8194 0.0297 -0.0283 0.5717
1341845949.2205 -0.2820 -2.6719 1.4904 -0.8195 0.0303 -0.0280 0.5715
1341845949.2304 -0.2817 -2.6705 1.4920 -0.8208 0.0322 -0.0288 0.5696
1341845949.2405 -0.2811 -2.6689 1.4937 -0.8213 0.0334 -0.0297 0.5687
1341845949.2504 -0.2806 -2.6671 1.4953 -0.8214 0.0341 -0.0307 0.5685
1341845949.2605 -0.2801 -2.6655 1.4968 -0.8228 0.0348 -0.0315 0.5664
1341845949.2704 -0.2794 -2.6639 1.4986 -0.8229 0.0354 -0.0328 0.5661
1341845949.2828 -0.2787 -2.6620 1.5003 -0.8232 0.0359 -0.0339 0.5657
1341845949.2904 -0.2780 -2.6604 1.5021 -0.8228 0.0367 -0.0353 0.5661
1341845949.3004 -0.2772 -2.6594 1.5037 -0.8245 0.0361 -0.0352 0.5636
1341845949.3106 -0.2768 -2.6569 1.5053 -0.8227 0.0381 -0.0369 0.5660
1341845949.3209 -0.2764 -2.6553 1.5069 -0.8227 0.0382 -0.0371 0.5660
1341845949.3304 -0.2759 -2.6536 1.5084 -0.8227 0.0387 -0.0379 0.5659
1341845949.3405 -0.2754 -2.6517 1.5101 -0.8219 0.0393 -0.0389 0.5670
1341845949.3513 -0.2747 -2.6501 1.5117 -0.8221 0.0394 -0.0402 0.5665
1341845949.3604 -0.2743 -2.6484 1.5131 -0.8226 0.0392 -0.0415 0.5658
1341845949.3705 -0.2739 -2.6467 1.5145 -0.8227 0.0394 -0.0427 0.5655
1341845949.3804 -0.2732 -2.6457 1.5159 -0.8241 0.0380 -0.0432 0.5636
1341845949.3905 -0.2731 -2.6431 1.5170 -0.8229 0.0389 -0.0445 0.5651
1341845949.4004 -0.2728 -2.6413 1.5181 -0.8233 0.0388 -0.0452 0.5645
1341845949.4104 -0.2724 -2.6395 1.5192 -0.8234 0.0390 -0.0454 0.5643
1341845949.4204 -0.2722 -2.6376 1.5201 -0.8237 0.0389 -0.0444 0.5640
1341845949.4304 -0.2718 -2.6359 1.5211 -0.8244 0.0388 -0.0450 0.5629
1341845949.4405 -0.2715 -2.6342 1.5220 -0.8250 0.0385 -0.0450 0.5620
1341845949.4504 -0.2714 -2.6324 1.5226 -0.8251 0.0387 -0.0448 0.5618
1341845949.4604 -0.2705 -2.6320 1.5237 -0.8280 0.0375 -0.0467 0.5575
1341845949.4704 -0.2707 -2.6295 1.5242 -0.8275 0.0365 -0.0455 0.5585
1341845949.4804 -0.2704 -2.6274 1.5248 -0.8277 0.0378 -0.0478 0.5578
1341845949.4904 -0.2705 -2.6256 1.5253 -0.8287 0.0381 -0.0477 0.5563
1341845949.5004 -0.2702 -2.6239 1.5259 -0.8299 0.0371 -0.0482 0.5546
1341845949.5105 -0.2704 -2.6224 1.5264 -0.8315 0.0357 -0.0474 0.5524
1341845949.5205 -0.2705 -2.6208 1.5265 -0.8339 0.0353 -0.0476 0.5488
1341845949.5306 -0.2703 -2.6187 1.5273 -0.8345 0.0335 -0.0477 0.5480
1341845949.5404 -0.2704 -2.6174 1.5280 -0.8351 0.0334 -0.0469 0.5471
1341845949.5505 -0.2706 -2.6155 1.5282 -0.8364 0.0327 -0.0468 0.5451
1341845949.5605 -0.2705 -2.6137 1.5287 -0.8370 0.0318 -0.0468 0.5443
1341845949.5704 -0.2705 -2.6121 1.5292 -0.8378 0.0319 -0.0466 0.5431
1341845949.5806 -0.2706 -2.6105 1.5297 -0.8386 0.0321 -0.0469 0.5419
1341845949.5905 -0.2708 -2.6093 1.5302 -0.8390 0.0317 -0.0469 0.5412
1341845949.6004 -0.2708 -2.6077 1.5305 -0.8408 0.0312 -0.0481 0.5384
1341845949.6104 -0.2708 -2.6058 1.5313 -0.8399 0.0301 -0.0483 0.5397
1341845949.6205 -0.2709 -2.6042 1.5318 -0.8406 0.0295 -0.0492 0.5387
1341845949.6320 -0.2709 -2.6031 1.5325 -0.8414 0.0265 -0.0482 0.5376
1341845949.6404 -0.2715 -2.6010 1.5329 -0.8404 0.0275 -0.0483 0.5390
1341845949.6505 -0.2717 -2.5996 1.5335 -0.8405 0.0267 -0.0471 0.5392
1341845949.6605 -0.2721 -2.5980 1.5341 -0.8407 0.0255 -0.0460 0.5390
1341845949.6704 -0.2724 -2.5967 1.5347 -0.8411 0.0255 -0.0453 0.5384
