# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_sitting_rpy.bag'
# timestamp tx ty tz qx qy qz qw
1341846092.1320 -0.7108 -2.7386 1.3709 -0.8042 0.0042 -0.0217 0.5940
1341846092.1395 -0.7107 -2.7388 1.3708 -0.8041 0.0044 -0.0214 0.5941
1341846092.1495 -0.7104 -2.7393 1.3707 -0.8046 0.0052 -0.0224 0.5933
1341846092.1595 -0.7102 -2.7394 1.3706 -0.8046 0.0052 -0.0219 0.5934
1341846092.1695 -0.7103 -2.7389 1.3702 -0.8032 0.0049 -0.0197 0.5953
1341846092.1795 -0.7101 -2.7390 1.3701 -0.8031 0.0050 -0.0192 0.5956
1341846092.1896 -0.7099 -2.7395 1.3701 -0.8037 0.0054 -0.0208 0.5946
1341846092.1995 -0.7099 -2.7390 1.3697 -0.8025 0.0050 -0.0194 0.5963
1341846092.2094 -0.7096 -2.7395 1.3698 -0.8032 0.0053 -0.0215 0.5953
1341846092.2195 -0.7094 -2.7396 1.3696 -0.8033 0.0052 -0.0219 0.5952
1341846092.2295 -0.7093 -2.7396 1.3694 -0.8033 0.0051 -0.0224 0.5951
1341846092.2395 -0.7092 -2.7395 1.3694 -0.8034 0.0049 -0.0227 0.5950
1341846092.2495 -0.7092 -2.7395 1.3692 -0.8039 0.0046 -0.0225 0.5944
1341846092.2633 -0.7093 -2.7390 1.3690 -0.8028 0.0039 -0.0211 0.5958
1341846092.2695 -0.7091 -2.7395 1.3691 -0.8036 0.0041 -0.0226 0.5948
1341846092.2801 -0.7090 -2.7395 1.3690 -0.8032 0.0037 -0.0227 0.5953
1341846092.2895 -0.7090 -2.7395 1.3691 -0.8029 0.0036 -0.0231 0.5956
1341846092.2995 -0.7089 -2.7395 1.3691 -0.8025 0.0035 -0.0236 0.5962
1341846092.3097 -0.7090 -2.7395 1.3693 -0.8020 0.0032 -0.0237 0.5968
1341846092.3220 -0.7090 -2.7396 1.3695 -0.8016 0.0029 -0.0241 0.5974
1341846092.3328 -0.7092 -2.7391 1.3694 -0.8003 0.0023 -0.0227 0.5992
1341846092.3396 -0.7092 -2.7390 1.3697 -0.7997 0.0022 -0.0229 0.5999
1341846092.3495 -0.7093 -2.7390 1.3698 -0.7992 0.0020 -0.0231 0.6006
1341846092.3596 -0.7093 -2.7389 1.3700 -0.7985 0.0015 -0.0232 0.6015
1341846092.3694 -0.7094 -2.7390 1.3701 -0.7981 0.0008 -0.0233 0.6020
1341846092.3795 -0.7094 -2.7390 1.3703 -0.7976 0.0001 -0.0238 0.6028
1341846092.3895 -0.7095 -2.7391 1.3705 -0.7972 -0.0002 -0.0243 0.6032
1341846092.3995 -0.7095 -2.7396 1.3709 -0.7977 -0.0004 -0.0267 0.6025
1341846092.4095 -0.7096 -2.7391 1.3708 -0.7964 -0.0016 -0.0257 0.6042
1341846092.4198 -0.7097 -2.7391 1.3709 -0.7959 -0.0020 -0.0263 0.6048
1341846092.4295 -0.7097 -2.7391 1.3710 -0.7957 -0.0028 -0.0268 0.6052
