# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_walking_static.bag'
# timestamp tx ty tz qx qy qz qw
1341846226.9190 -0.8045 -3.2232 1.3769 -0.7908 -0.0065 -0.0009 0.6121
1341846226.9285 -0.8046 -3.2231 1.3770 -0.7907 -0.0065 -0.0003 0.6121
1341846226.9385 -0.8046 -3.2231 1.3771 -0.7906 -0.0069 0.0002 0.6122
1341846226.9505 -0.8046 -3.2230 1.3772 -0.7902 -0.0070 0.0011 0.6128
1341846226.9585 -0.8047 -3.2230 1.3772 -0.7898 -0.0071 0.0014 0.6133
1341846226.9685 -0.8046 -3.2229 1.3774 -0.7892 -0.0072 0.0013 0.6141
1341846226.9785 -0.8047 -3.2228 1.3774 -0.7889 -0.0074 0.0015 0.6145
1341846226.9890 -0.8046 -3.2228 1.3775 -0.7892 -0.0074 0.0014 0.6141
1341846226.9985 -0.8046 -3.2228 1.3774 -0.7892 -0.0077 0.0014 0.6140
1341846227.0085 -0.8045 -3.2228 1.3775 -0.7896 -0.0078 0.0014 0.6136
1341846227.0201 -0.8049 -3.2228 1.3772 -0.7898 -0.0067 0.0024 0.6133
1341846227.0285 -0.8048 -3.2228 1.3772 -0.7900 -0.0072 0.0024 0.6131
1341846227.0399 -0.8044 -3.2225 1.3774 -0.7896 -0.0088 0.0018 0.6136
1341846227.0485 -0.8043 -3.2226 1.3775 -0.7897 -0.0087 0.0017 0.6134
1341846227.0585 -0.8042 -3.2226 1.3776 -0.7895 -0.0087 0.0014 0.6137
1341846227.0685 -0.8040 -3.2225 1.3776 -0.7893 -0.0090 0.0014 0.6140
1341846227.0785 -0.8038 -3.2225 1.3777 -0.7892 -0.0090 0.0013 0.6141
1341846227.0885 -0.8037 -3.2224 1.3776 -0.7890 -0.0090 0.0013 0.6144
1341846227.0985 -0.8036 -3.2223 1.3776 -0.7887 -0.0089 0.0012 0.6147
1341846227.1085 -0.8035 -3.2224 1.3776 -0.7891 -0.0090 0.0013 0.6142
1341846227.1186 -0.8034 -3.2224 1.3775 -0.7889 -0.0089 0.0012 0.6144
1341846227.1285 -0.8032 -3.2222 1.3776 -0.7889 -0.0091 0.0010 0.6145
1341846227.1386 -0.8031 -3.2222 1.3775 -0.7886 -0.0091 0.0012 0.6149
1341846227.1493 -0.8029 -3.2221 1.3775 -0.7886 -0.0090 0.0012 0.6148
