# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_sitting_xyz.bag'
# timestamp tx ty tz qx qy qz qw
1341845820.8614 -0.6589 -2.9733 1.3988 -0.7454 -0.0266 -0.0113 0.6660
1341845820.8724 -0.6589 -2.9735 1.3987 -0.7456 -0.0268 -0.0113 0.6657
1341845820.8814 -0.6589 -2.9736 1.3988 -0.7453 -0.0270 -0.0117 0.6660
1341845820.8914 -0.6590 -2.9738 1.3988 -0.7455 -0.0273 -0.0120 0.6659
1341845820.9014 -0.6590 -2.9739 1.3987 -0.7456 -0.0276 -0.0121 0.6657
1341845820.9114 -0.6592 -2.9740 1.3986 -0.7461 -0.0278 -0.0121 0.6651
1341845820.9214 -0.6593 -2.9741 1.3985 -0.7463 -0.0279 -0.0120 0.6650
1341845820.9313 -0.6593 -2.9741 1.3985 -0.7466 -0.0281 -0.0117 0.6646
1341845820.9414 -0.6594 -2.9742 1.3984 -0.7468 -0.0282 -0.0117 0.6644
1341845820.9514 -0.6595 -2.9743 1.3984 -0.7471 -0.0283 -0.0115 0.6640
1341845820.9614 -0.6596 -2.9744 1.3983 -0.7472 -0.0284 -0.0116 0.6639
1341845820.9713 -0.6597 -2.9745 1.3983 -0.7473 -0.0286 -0.0115 0.6638
1341845820.9813 -0.6598 -2.9745 1.3982 -0.7473 -0.0286 -0.0118 0.6637
1341845820.9914 -0.6599 -2.9746 1.3981 -0.7472 -0.0286 -0.0118 0.6639
1341845821.0013 -0.6600 -2.9747 1.3981 -0.7474 -0.0287 -0.0119 0.6636
1341845821.0113 -0.6602 -2.9747 1.3981 -0.7473 -0.0289 -0.0119 0.6638
1341845821.0214 -0.6603 -2.9747 1.3980 -0.7472 -0.0289 -0.0117 0.6639
1341845821.0314 -0.6604 -2.9747 1.3979 -0.7469 -0.0287 -0.0114 0.6642
1341845821.0414 -0.6604 -2.9747 1.3978 -0.7469 -0.0283 -0.0110 0.6643
1341845821.0514 -0.6604 -2.9743 1.3981 -0.7459 -0.0269 -0.0098 0.6655
1341845821.0614 -0.6603 -2.9743 1.3980 -0.7459 -0.0268 -0.0090 0.6654
1341845821.0714 -0.6602 -2.9744 1.3981 -0.7460 -0.0268 -0.0076 0.6653
1341845821.0813 -0.6602 -2.9743 1.3982 -0.7457 -0.0263 -0.0070 0.6658
1341845821.0914 -0.6601 -2.9743 1.3982 -0.7451 -0.0258 -0.0063 0.6665
1341845821.1013 -0.6599 -2.9743 1.3982 -0.7447 -0.0252 -0.0062 0.6669
1341845821.1113 -0.6597 -2.9743 1.3982 -0.7441 -0.0242 -0.0063 0.6676
1341845821.1213 -0.6596 -2.9743 1.3983 -0.7440 -0.0235 -0.0066 0.6677
1341845821.1322 -0.6593 -2.9742 1.3983 -0.7441 -0.0226 -0.0072 0.6677
1341845821.1413 -0.6591 -2.9742 1.3983 -0.7442 -0.0217 -0.0076 0.6676
1341845821.1515 -0.6588 -2.9743 1.3984 -0.7445 -0.0210 -0.0081 0.6672
1341845821.1623 -0.6586 -2.9743 1.3984 -0.7446 -0.0202 -0.0083 0.6671
1341845821.1714 -0.6583 -2.9743 1.3985 -0.7447 -0.0193 -0.0082 0.6670
1341845821.1814 -0.6581 -2.9743 1.3986 -0.7445 -0.0186 -0.0080 0.6673
1341845821.1914 -0.6580 -2.9744 1.3987 -0.7440 -0.0180 -0.0075 0.6679
1341845821.2013 -0.6575 -2.9742 1.3992 -0.7428 -0.0189 -0.0076 0.6692
1341845821.2114 -0.6575 -2.9747 1.3991 -0.7427 -0.0198 -0.0075 0.6692
1341845821.2214 -0.6573 -2.9748 1.3992 -0.7422 -0.0194 -0.0073 0.6699
1341845821.2316 -0.6572 -2.9748 1.3994 -0.7417 -0.0193 -0.0076 0.6705
1341845821.2413 -0.6570 -2.9749 1.3995 -0.7420 -0.0189 -0.0083 0.6701
