# ground truth trajectory
# file: 'rgbd_dataset_freiburg3_walking_rpy.bag'
# timestamp tx ty tz qx qy qz qw
1341846647.8653 -0.6243 -2.7776 1.4753 -0.7614 -0.0229 0.0090 0.6478
1341846647.8756 -0.6233 -2.7782 1.4753 -0.7616 -0.0226 0.0086 0.6476
1341846647.8854 -0.6224 -2.7786 1.4753 -0.7616 -0.0223 0.0081 0.6476
1341846647.8953 -0.6216 -2.7789 1.4753 -0.7617 -0.0222 0.0080 0.6475
1341846647.9054 -0.6207 -2.7792 1.4754 -0.7619 -0.0221 0.0075 0.6473
1341846647.9153 -0.6198 -2.7794 1.4753 -0.7623 -0.0222 0.0072 0.6469
1341846647.9254 -0.6190 -2.7796 1.4753 -0.7621 -0.0223 0.0074 0.6470
1341846647.9354 -0.6181 -2.7798 1.4752 -0.7623 -0.0226 0.0077 0.6468
1341846647.9453 -0.6173 -2.7800 1.4753 -0.7626 -0.0227 0.0085 0.6464
1341846647.9553 -0.6165 -2.7802 1.4754 -0.7628 -0.0230 0.0094 0.6461
1341846647.9657 -0.6158 -2.7803 1.4754 -0.7629 -0.0232 0.0097 0.6460
1341846647.9753 -0.6149 -2.7804 1.4754 -0.7629 -0.0234 0.0099 0.6461
1341846647.9853 -0.6141 -2.7806 1.4754 -0.7631 -0.0234 0.0101 0.6457
1341846647.9961 -0.6133 -2.7808 1.4755 -0.7634 -0.0236 0.0103 0.6455
1341846648.0053 -0.6124 -2.7808 1.4756 -0.7637 -0.0239 0.0104 0.6450
1341846648.0153 -0.6116 -2.7809 1.4756 -0.7642 -0.0243 0.0103 0.6444
1341846648.0253 -0.6106 -2.7810 1.4757 -0.7647 -0.0245 0.0105 0.6438
1341846648.0353 -0.6095 -2.7814 1.4758 -0.7660 -0.0247 0.0098 0.6423
1341846648.0454 -0.6087 -2.7815 1.4759 -0.7663 -0.0252 0.0104 0.6419
1341846648.0553 -0.6072 -2.7821 1.4766 -0.7679 -0.0263 0.0085 0.6400
1341846648.0653 -0.6066 -2.7817 1.4767 -0.7666 -0.0276 0.0117 0.6414
1341846648.0754 -0.6057 -2.7819 1.4770 -0.7667 -0.0281 0.0129 0.6413
1341846648.0853 -0.6047 -2.7822 1.4773 -0.7667 -0.0287 0.0141 0.6411
1341846648.0955 -0.6036 -2.7823 1.4776 -0.7665 -0.0292 0.0152 0.6414
1341846648.1053 -0.6025 -2.7825 1.4780 -0.7663 -0.0294 0.0159 0.6416
1341846648.1153 -0.6016 -2.7827 1.4783 -0.7660 -0.0295 0.0162 0.6419
1341846648.1254 -0.6005 -2.7830 1.4787 -0.7665 -0.0297 0.0168 0.6413
1341846648.1354 -0.5999 -2.7828 1.4787 -0.7660 -0.0294 0.0193 0.6419
1341846648.1456 -0.5984 -2.7835 1.4794 -0.7675 -0.0311 0.0173 0.6400
1341846648.1553 -0.5974 -2.7837 1.4796 -0.7681 -0.0316 0.0174 0.6394
1341846648.1653 -0.5964 -2.7838 1.4799 -0.7687 -0.0322 0.0175 0.6386
1341846648.1754 -0.5954 -2.7840 1.4801 -0.7696 -0.0333 0.0179 0.6375
1341846648.1854 -0.5944 -2.7841 1.4804 -0.7700 -0.0342 0.0185 0.6368
1341846648.1953 -0.5936 -2.7842 1.4808 -0.7700 -0.0350 0.0196 0.6368
1341846648.2068 -0.5928 -2.7843 1.4813 -0.7699 -0.0361 0.0212 0.6368
1341846648.2153 -0.5918 -2.7845 1.4818 -0.7695 -0.0372 0.0231 0.6372
1341846648.2253 -0.5910 -2.7847 1.4822 -0.7690 -0.0378 0.0246 0.6376
1341846648.2354 -0.5906 -2.7843 1.4822 -0.7679 -0.0379 0.0282 0.6388
1341846648.2453 -0.5896 -2.7844 1.4826 -0.7682 -0.0393 0.0290 0.6383
1341846648.2554 -0.5889 -2.7845 1.4828 -0.7687 -0.0414 0.0296 0.6375
1341846648.2654 -0.5880 -2.7847 1.4832 -0.7697 -0.0437 0.0297 0.6362
1341846648.2754 -0.5871 -2.7849 1.4835 -0.7709 -0.0463 0.0302 0.6346
1341846648.2853 -0.5863 -2.7850 1.4838 -0.7720 -0.0484 0.0306 0.6331
1341846648.2955 -0.5855 -2.7851 1.4841 -0.7733 -0.0506 0.0309 0.6312
1341846648.3054 -0.5846 -2.7855 1.4842 -0.7747 -0.0534 0.0312 0.6293
1341846648.3153 -0.5838 -2.7854 1.4843 -0.7752 -0.0551 0.0313 0.6285
1341846648.3266 -0.5829 -2.7854 1.4845 -0.7756 -0.0567 0.0320 0.6279
1341846648.3353 -0.5821 -2.7855 1.4847 -0.7759 -0.0586 0.0328 0.6273
1341846648.3453 -0.5812 -2.7857 1.4849 -0.7762 -0.0601 0.0341 0.6266
1341846648.3553 -0.5800 -2.7864 1.4845 -0.7780 -0.0639 0.0349 0.6240
1341846648.3653 -0.5793 -2.7863 1.4847 -0.7781 -0.0653 0.0368 0.6236
1341846648.3753 -0.5783 -2.7864 1.4847 -0.7767 -0.0659 0.0389 0.6252
1341846648.3853 -0.5775 -2.7862 1.4848 -0.7769 -0.0670 0.0416 0.6247
1341846648.3958 -0.5763 -2.7862 1.4850 -0.7773 -0.0691 0.0451 0.6238
1341846648.4053 -0.5755 -2.7856 1.4856 -0.7762 -0.0695 0.0479 0.6248
1341846648.4153 -0.5745 -2.7854 1.4856 -0.7762 -0.0703 0.0502 0.6246
1341846648.4256 -0.5738 -2.7853 1.4854 -0.7761 -0.0699 0.0529 0.6245
1341846648.4354 -0.5728 -2.7852 1.4854 -0.7759 -0.0704 0.0545 0.6245
1341846648.4453 -0.5715 -2.7850 1.4855 -0.7761 -0.0713 0.0556 0.6240
1341846648.4553 -0.5705 -2.7845 1.4854 -0.7759 -0.0720 0.0570 0.6241
1341846648.4653 -0.5691 -2.7845 1.4854 -0.7773 -0.0735 0.0569 0.6222
1341846648.4762 -0.5678 -2.7843 1.4853 -0.7778 -0.0751 0.0580 0.6214
1341846648.4854 -0.5667 -2.7837 1.4851 -0.7783 -0.0764 0.0596 0.6204
